Time,R_8it,R_10bit,R_12bit
16:22:58,"17127.662,","17006.336,",16963.852
16:22:59,"17127.662,","16906.891,",16954.977
16:23:00,"16842.109,","17020.602,",17070.801
16:23:01,"16842.109,","16992.084,",16970.951
16:23:03,"17127.662,","16992.084,",17001.182
16:23:04,"17127.662,","17020.602,",16988.727
16:23:05,"16842.109,","17034.883,",17015.437
16:23:06,"17127.662,","16992.084,",16969.18
16:23:07,"16842.109,","17034.883,",17029.703
16:23:08,"16842.109,","16992.084,",17001.182
16:23:09,"16842.109,","17020.602,",17027.92
16:23:10,"17127.662,","16977.846,",17020.785
16:23:11,"16842.109,","16977.846,",17035.057
16:23:13,"16842.109,","16963.627,",17011.873
16:23:14,"16842.109,","17006.336,",17006.525
16:23:15,"16842.109,","17006.336,",16986.951
16:23:16,"16842.109,","16977.846,",17026.137
16:23:17,"16842.109,","16992.084,",16963.852
16:23:18,"16842.109,","17020.602,",17013.656
16:23:19,"16842.109,","16992.084,",16994.068
16:23:20,"17127.662,","17006.336,",16972.73
16:23:21,"16842.109,","16963.627,",17013.656
16:23:23,"17127.662,","16949.420,",16994.068
16:23:24,"17127.662,","16935.229,",17040.412
16:23:25,"17127.662,","16949.420,",17017.221
16:23:26,"17127.662,","16992.084,",17036.842
16:23:27,"16842.109,","16906.891,",16880.664
16:23:28,"16842.109,","16963.627,",17002.967
16:23:29,"16842.109,","16977.846,",16958.527
16:23:30,"17127.662,","16766.090,",16999.406
16:23:32,"17127.662,","16864.496,",17017.221
16:23:33,"17127.662,","16935.229,",17001.182
16:23:34,"17127.662,","16992.084,",17020.785
16:23:35,"16842.109,","17063.492,",17010.092
16:23:36,"16842.109,","17006.336,",17024.346
16:23:37,"17127.662,","16850.393,",17001.182
16:23:38,"17127.662,","16963.627,",16891.254
16:23:39,"16842.109,","17120.889,",16926.619
16:23:40,"17127.662,","16992.084,",17042.193
16:23:42,"16842.109,","17049.180,",16972.73
16:23:43,"16842.109,","16977.846,",17006.525
16:23:44,"17127.662,","16977.846,",16924.848
16:23:45,"16842.109,","16963.627,",16986.951
16:23:46,"16842.109,","17077.818,",17042.193
16:23:47,"16842.109,","17034.883,",17033.271
16:23:48,"16842.109,","16935.229,",16999.406
16:23:49,"16842.109,","16949.420,",17024.346
16:23:50,"16842.109,","17006.336,",17038.627
16:23:52,"17127.662,","17006.336,",16983.391
16:23:53,"16842.109,","16977.846,",16994.068
16:23:54,"16842.109,","17006.336,",17004.748
16:23:55,"17127.662,","16935.229,",17011.873
16:23:56,"16842.109,","17034.883,",16976.285
16:23:57,"16842.109,","16963.627,",17010.092
16:23:58,"16842.109,","16906.891,",17049.344
16:23:59,"16842.109,","16935.229,",16963.852
16:24:00,"16842.109,","17049.180,",16940.791
16:24:02,"16842.109,","17020.602,",16976.285
16:24:03,"16842.109,","16949.420,",16956.752
16:24:04,"16842.109,","16977.846,",16976.285
16:24:05,"17127.662,","16949.420,",17029.703
16:24:06,"16842.109,","17034.883,",16859.5
16:24:07,"16842.109,","17049.180,",16924.848
16:24:08,"17127.662,","17049.180,",17035.057
16:24:09,"16842.109,","16992.084,",16969.18
16:24:11,"16842.109,","16977.846,",17010.092
16:24:12,"16842.109,","16949.420,",17013.656
16:24:13,"17127.662,","17077.818,",17026.137
16:24:14,"16842.109,","16977.846,",16949.656
16:24:15,"16842.109,","17034.883,",16939.02
16:24:16,"17127.662,","17034.883,",16969.18
16:24:17,"17127.662,","17006.336,",16926.619
16:24:18,"16842.109,","17034.883,",16995.848
16:24:19,"17127.662,","16906.891,",17008.311
16:24:21,"17127.662,","17092.160,",16956.752
16:24:22,"17127.662,","16921.051,",16983.391
16:24:23,"17127.662,","17006.336,",17035.057
16:24:24,"17127.662,","16935.229,",17013.656
16:24:25,"16842.109,","16977.846,",17026.137
16:24:26,"16842.109,","17020.602,",17019.002
16:24:27,"17127.662,","16992.084,",17042.193
16:24:28,"17127.662,","16977.846,",17008.311
16:24:29,"16842.109,","16906.891,",16994.068
16:24:31,"16842.109,","17006.336,",16992.289
16:24:32,"16842.109,","17006.336,",16999.406
16:24:33,"16842.109,","17034.883,",17040.412
16:24:34,"17127.662,","17034.883,",16986.951
16:24:35,"16842.109,","16992.084,",17047.557
16:24:36,"16842.109,","17020.602,",17019.002
16:24:37,"16842.109,","16992.084,",17052.918
16:24:38,"16842.109,","16992.084,",17033.271
16:24:40,"17127.662,","16992.084,",17011.873
16:24:41,"16842.109,","16836.307,",16976.285
16:24:42,"17127.662,","17092.160,",16931.932
16:24:43,"16842.109,","16949.420,",16949.656
16:24:44,"16842.109,","16992.084,",16896.553
16:24:45,"16842.109,","16949.420,",17079.752
16:24:46,"16842.109,","16992.084,",16994.068
16:24:47,"16842.109,","16992.084,",16995.848
16:24:48,"16842.109,","16992.084,",17001.182
16:24:50,"16842.109,","16992.084,",17011.873
16:24:51,"16842.109,","16892.742,",16997.627
16:24:52,"17127.662,","16992.084,",16965.621
16:24:53,"16842.109,","16977.846,",16939.02
16:24:54,"16842.109,","16977.846,",16992.289
16:24:55,"16842.109,","17006.336,",16947.877
16:24:56,"16842.109,","16921.051,",16958.527
16:24:57,"16842.109,","17020.602,",16976.285
16:24:58,"16842.109,","16963.627,",16979.84
16:25:00,"16842.109,","16977.846,",17008.311
16:25:01,"17419.355,","17020.602,",17015.437
16:25:02,"17127.662,","17077.818,",17047.557
16:25:03,"16842.109,","16977.846,",16974.508
16:25:04,"17127.662,","16906.891,",16944.336
16:25:05,"16842.109,","16935.229,",16963.852
16:25:06,"17127.662,","16963.627,",16999.406
16:25:07,"16842.109,","17049.180,",16963.852
16:25:08,"17127.662,","16963.627,",16986.951
16:25:10,"17127.662,","16794.133,",16954.977
16:25:11,"16842.109,","16949.420,",16949.656
16:25:12,"16842.109,","16864.496,",17020.785
16:25:13,"17127.662,","16963.627,",16917.764
16:25:14,"16842.109,","16949.420,",16979.84
16:25:15,"16842.109,","16935.229,",16958.527
16:25:16,"16842.109,","16977.846,",16916
16:25:17,"16842.109,","16906.891,",16947.877
16:25:19,"16842.109,","16949.420,",16960.301
16:25:20,"16842.109,","16921.051,",16933.703
16:25:21,"17127.662,","16878.611,",16914.23
16:25:22,"16842.109,","16906.891,",16893.021
16:25:23,"16842.109,","16977.846,",16903.621
16:25:24,"16842.109,","16892.742,",16885.957
16:25:25,"16842.109,","16949.420,",16937.246
