Time,Res_8_bit,Res_10_bit,Res_12_bit
16:32:37,15757.578,16004.062,15975.26
16:32:38,16288.659,16110.261,16114.408
16:32:39,16020.41,16257.7,16256.729
16:32:40,16288.659,16271.186,16337.793
16:32:41,16562.498,16352.395,16361.53
16:32:42,16562.498,16475.156,16487.709
16:32:43,16562.498,16543.85,16516.867
16:32:44,16562.498,16502.59,16573.656
16:32:45,16562.498,16738.107,16634.145
16:32:47,16562.498,16599.064,16613.379
16:32:48,16562.498,16557.631,16644.549
16:32:49,16288.659,16543.85,16400.619
16:32:50,16288.659,16571.428,16407.43
16:32:51,16020.41,16244.228,16253.366
16:32:52,16288.659,16150.307,16192.914
16:32:53,16288.659,16217.325,16341.182
16:32:54,16562.498,16190.477,16451.779
16:32:55,16020.41,16365.979,16429.586
16:32:57,16020.41,15977.653,16310.718
16:32:58,16020.41,16110.261,16184.54
16:32:59,16020.41,16110.261,15996.697
16:33:00,16020.41,16177.072,15991.747
16:33:01,16020.41,16083.63,16112.737
16:33:02,16288.659,16083.63,15971.971
16:33:03,16020.41,16004.062,16062.88
16:33:04,15757.578,16057.055,15925.925
16:33:06,16562.498,15781.25,16079.479
16:33:07,16020.41,16083.63,16219.748
16:33:08,16020.41,16150.307,16164.464
16:33:09,16020.41,16096.938,16121.071
16:33:10,16020.41,16096.938,16109.413
16:33:11,16288.659,16043.788,16066.202
16:33:12,15757.578,16190.477,15993.402
16:33:13,16020.41,15938.13,16024.784
16:33:14,15757.578,16004.062,15878.411
16:33:16,15757.578,15990.854,15772.552
16:33:17,15500.003,15716.44,15837.597
16:33:18,15757.578,15794.251,15790.401
16:33:19,15500.003,15885.627,15803.402
16:33:20,15757.578,15768.262,15725.594
16:33:21,16020.41,15820.293,15857.17
16:33:22,15757.578,15833.334,15801.776
16:33:23,15757.578,15820.293,15834.331
16:33:24,15757.578,15859.454,15783.906
16:33:26,15757.578,15833.334,15777.414
16:33:27,15757.578,15742.321,15813.161
16:33:28,15757.578,15898.734,15792.025
16:33:29,15757.578,15768.262,15850.641
16:33:30,15757.578,15807.261,15902.97
16:33:31,15757.578,15846.387,15871.872
16:33:32,15757.578,15833.334,15751.478
16:33:33,15500.003,15911.854,15818.044
16:33:34,15757.578,15781.25,15795.275
16:33:36,16288.659,15820.293,15745.002
16:33:37,15757.578,15664.826,15809.908
16:33:38,15757.578,15807.261,15680.422
16:33:39,15500.003,15626.253,15616.16
16:33:40,15247.527,15460.428,15501.31
16:33:41,15500.003,15575,15496.546
16:33:42,15247.527,15409.837,15553.823
16:33:43,15757.578,15372.022,15447.425
16:33:45,15500.003,15359.443,15510.837
16:33:46,15247.527,15409.837,15487.024
16:33:47,15500.003,15397.22,15480.682
16:33:48,15500.003,15372.022,15436.364
16:33:49,15247.527,15309.252,15422.148
16:33:50,15247.527,15384.615,15455.339
16:33:51,15757.578,15234.334,15365.461
16:33:52,15247.527,15172.243,15313.719
16:33:53,15247.527,15122.788,15196.898
16:33:55,15247.527,15172.243,15212.412
16:33:56,15500.003,14999.999,15098.062
16:33:57,15247.527,15159.863,15167.476
16:33:58,15000.001,15259.26,15187.6
16:33:59,15247.527,15085.827,15067.334
16:34:00,15247.527,15197.045,15190.698
16:34:01,15000.001,15073.53,15161.29
16:34:02,15000.001,15135.136,15102.676
16:34:03,15247.527,15209.464,15121.158
16:34:05,15000.001,15159.863,15248.17
16:34:06,15000.001,15184.636,15173.666
16:34:07,15500.003,15122.788,15122.702
16:34:08,15000.001,15271.74,15073.476
16:34:09,15247.527,15159.863,15022.916
16:34:10,15000.001,14926.899,15021.384
16:34:11,15000.001,15110.454,15019.857
16:34:12,14757.284,14999.999,15099.602
16:34:13,15000.001,14987.786,14964.944
16:34:15,15000.001,14878.403,15076.549
16:34:16,15000.001,14963.398,14971.038
16:34:17,15000.001,14890.513,14873.958
16:34:18,15000.001,14842.157,14904.212
16:34:19,15000.001,14890.513,14869.428
16:34:20,15000.001,14793.991,14801.643
16:34:21,14757.284,14902.63,14936.061
16:34:22,15247.527,14746.008,14854.331
16:34:24,14757.284,14866.31,14876.979
16:34:25,14519.231,14854.229,14836.244
16:34:26,14757.284,14830.099,14815.175
16:34:27,14757.284,14806.012,14782.136
16:34:28,14757.284,14746.008,14746.194
16:34:29,15000.001,14698.212,14692.476
16:34:30,14757.284,14591.346,14714.832
16:34:31,14285.716,14520.613,14587.21
16:34:32,14519.231,14722.089,14538.591
16:34:34,14519.231,14520.613,14570.982
16:34:35,14519.231,14497.128,14523.895
16:34:36,14519.231,14450.285,14430.257
16:34:37,14285.716,14391.987,14360.501
16:34:38,13831.777,14207.289,14308.44
16:34:39,14056.604,14241.706,14194.979
16:34:40,14056.604,14253.203,14199.268
16:34:41,14285.716,14138.746,14215.005
16:34:42,14285.716,14218.75,14298.343
16:34:44,14285.716,14195.839,14266.666
16:34:45,13611.113,14230.222,14199.268
16:34:46,14056.604,14345.55,14315.655
16:34:47,14285.716,14241.706,14229.333
16:34:48,14285.716,14115.982,14289.698
16:34:49,14285.716,14230.222,14270.981
16:34:50,14285.716,14276.222,14215.005
16:34:51,14285.716,14310.838,14312.768
16:34:53,14056.604,14207.289,14283.933
16:34:54,14056.604,14184.396,14356.151
16:34:55,14056.604,14230.222,14282.497
16:34:56,14285.716,14218.75,14392.424
16:34:57,14285.716,14218.75,14173.554
16:34:58,14056.604,14127.358,14212.143
16:34:59,14056.604,14104.618,14343.121
16:35:00,14285.716,14195.839,14263.793
16:35:01,14285.716,14253.203,14285.375
16:35:03,14056.604,14380.363,14325.771
16:35:04,14056.604,14138.746,14268.105
16:35:05,13831.777,14218.75,14330.103
16:35:06,13831.777,14264.708,14233.637
16:35:07,14056.604,14264.708,14196.408
16:35:08,14056.604,14081.923,14283.933
16:35:09,14056.604,14059.266,14166.421
16:35:10,13831.777,13969.074,14006.331
16:35:11,14056.604,14104.618,14082.57
16:35:13,14056.604,13980.312,14048.625
16:35:14,13831.777,13935.423,13983.835
16:35:15,13611.113,13669.597,13860.854
16:35:16,13831.777,13757.55,13810.909
16:35:17,13831.777,13658.65,13802.604
16:35:18,13611.113,13713.491,13827.532
16:35:19,13831.777,13846.154,13815.063
16:35:20,13611.113,13857.276,13779.104
16:35:22,13611.113,13890.705,13765.304
16:35:23,13611.113,13812.851,13853.906
16:35:24,14056.604,13812.851,13791.54
16:35:25,13611.113,13735.498,13809.527
16:35:26,13831.777,13669.597,13743.261
16:35:27,13831.777,13757.55,13846.959
16:35:28,13611.113,13625.866,13783.25
16:35:29,13611.113,13636.783,13710.264
16:35:30,13394.496,13625.866,13637.729
16:35:31,13611.113,13691.524,13633.637
16:35:33,13611.113,13582.296,13600.942
16:35:34,13181.82,13593.176,13732.251
16:35:35,13394.496,13506.434,13571.058
16:35:36,13394.496,13582.296,13639.091
16:35:37,13831.777,13604.061,13560.206
16:35:38,13611.113,13549.724,13429.454
16:35:39,13394.496,13517.241,13648.647
16:35:40,13394.496,13484.852,13511.514
